Name,Country,Years active,Proven victims,Possible victims,Notes
Christopher Halliwell,United Kingdom,1985–2011,2,28–60,"Halliwell pleaded guilty in 2012 to abducting and murdering Sian O'Callaghan the previous year. He also confessed to the 2003 murder of Becky Godden-Edwards, but his confession was ruled inadmissible and he could not be convicted until 2016, when new evidence was found. Halliwell is a person of interest in 26 other murders, and a collection of articles of women's clothing which included some taken from his victims may link him to up to 60 murders."
Allan Grimson,United Kingdom,1986–1998,2,22,"Homosexual Royal Navy sailor Grimson was convicted of the partially sexually-motivated murders of two other (non-homosexual) Royal Navy sailors while docked in Portsmouth on 12 December 1997 and 12 December 1998. Strongly suspected of being responsible for up to 20 other murders across different navy bases of the world, including in Gibraltar and New Zealand.[531] Also the prime suspect in the disappearance of fellow Royal Navy sailor Simon Parkes from Gibraltar in 1986, in part because he disappeared on 12 December, the date on which Grimson was known to have always killed his victims, and because Grimson was docked in Gibraltar with the navy at this time. Grimson's 2001 trial judge told him that he was ""a serial killer in nature if not in number"".[532]"
Billy Edwin Reid,United States,1989,2,21,"Reid was arrested in 2006 after a successful DNA profiling test proved his responsibility in the murders of two sex workers in 1989 in Denver, Colorado.[533] It is thought he might have been responsible for many murders, including some from the Denver Prostitute Killer – an unidentified single, or multiple serial killers responsible 17–27 murders between 1975 and 1995.[534]"
Joe Ball,United States,1937–1938,2,20,"Bootlegger and barman known as the ""Butcher of Elmendorf"", the ""Bluebeard of South Texas"", and ""the Alligator Man"" because of the alligator pit he had in the back of his bar and where he entertained clients by throwing live animals to the reptiles. Ball killed two barmaids but he shot himself fatally in the chest when police came to question him and was never arrested or interrogated. Yellow press and pulp magazines later exaggerated his exploits, claiming that he had killed up to 20 women and fed them to the alligators, but this was never proven and caused some of Ball's relatives to sue such publications. Police investigated about a dozen missing women who had worked at Ball's place; some were found alive in San Antonio, but others could not be accounted for.[535]"
Alun Kyte,United Kingdom,1984–1997,2,12,Kyte was found guilty of raping and murdering two sex workers in 1993 and 1994. He reportedly boasted to fellow inmates while serving time on a rape charge that he had killed a total of 12 women and police have linked him to a number of unsolved murders of women[536] although he has been ruled out in many cases in which he was initially suspected.[537]
Larry Gene Bell,United States,1975–1985,2,5,"Bell abducted and killed two women, Shari Smith and Debra Helmick, in May and June 1985. He was also a suspect in the disappearances of Denise Porch, Sandee Cornett and Beth Hagen. Bell was executed for murdering Smith and Helmick in 1996.[538]"
Michael Stone,United Kingdom,1976–1996,2,4,"Stone, who was convicted of the 1996 double murder of Lin and Megan Russell, is suspected of two other murders.[539][540] His conviction is controversial and his legal team blame confirmed serial killer Levi Bellfield for the 1996 murders,[541] although members of Stone's family believe he committed one additional murder.[542]"
David Smith,United Kingdom,1988–1999,2,4,"Smith was jailed for life in 1999 for murdering prostitute Amanda Walker. It was widely reported that he had previously been acquitted of the ""almost identical"" murder of another prostitute, Sarah Crump. Smith's acquittal was overturned in 2023 and he was found guilty of murdering Crump after he bragged to fellow inmates about how he had ""got away with it"".[543] Smith is also suspected of murdering two other women prior to his initial conviction.[544]"
James Otto Earhart,United States,1981–1987,2,3,"Earhart murdered Virginia Freeman in Brazos County, Texas on 1 December 1981. He also murdered nine-year-old Kandy Kirtland in 1987, and was executed for the murder in 1999. Posthumous DNA testing later proved that he was responsible for Freeman's murder, and he is also suspected of killing another woman in 1986.[545]"
Jeffrey Willis,United States,1996–2014,2,3,"Willis was convicted of the 2013 murder of Jessica Heeringa, whose body was never found, and of the 2014 murder of Rebekah Bletsch. Both women had had their photos included in a file on Willis' computer labelled ""vics"" (short for victims).[546] Willis is also a person of interest in the unsolved murder of Angela Thornburg in 1996.[547]"
Ángel Nieves Díaz,United States Puerto Rico,1978–1979,2,3,"Díaz was convicted of killing a store clerk in a robbery in Miami in 1979, having escaped from prison in Puerto Rico the previous year after being convicted of murdering another man. Police also suspected him of involvement in a third murder committed while he was on the run.[548][549]"
Pam Hupp,United States,2011–2016,1–2,3,"Hupp is the prime suspect in the 2011 murder of cancer patient Betsy Faria, who was stabbed to death shortly after making Hupp the sole beneficiary of a sizable life insurance policy. Faria's husband Russ was wrongfully convicted of her murder but was exonerated in 2015 and mobile data placed Hupp at the scene of the crime. After Russ was released, Hupp murdered a man named Louis Gumpenberger in 2016 and attempted to frame Russ for hiring him to kill her, but was caught and sentenced to life imprisonment for the murder. Hupp is currently awaiting trial for the murder of Betsy Faria, and is also suspected of having murdered her mother Shirley Neumann for inheritance in 2013."
Clementine Barnabet,United States,1911,1,35,"Barnabet was convicted of one murder but confessed as a total of 35.[550] She was believed to have murdered entire families in their sleep, but doubt has been cast on the extent of her involvement.[551] Sentenced to life imprisonment but released in 1923."
"""Texas Killing Fields"" Killers",United States,1970s–2000s,1,30+,"Since the early 1970s roughly 30 bodies have been extracted from the fields, mainly consisting of young girls. May have been the work of multiple killers. Convicted murderer Edward Harold Bell, 72 years old in November 2011, claimed in a letter to police in 1998 to have murdered 11 girls in Galveston County. Kevin Edison Smith was sentenced to life imprisonment for one of the murders in 2012."
Jessie McTavish,United Kingdom,1974,1[b],24,"British nurse who was convicted in 1974 of the murder of a patient with insulin after being inspired by the plot of A Man Called Ironside. She was released on appeal in 1975, despite three appeal court judges saying there was ample evidence to support the conviction, as the trial judge had inadvertently misled the jury in his final summary.[552] The appeal court judges said that it was an omission that ""a few words could have cured.""[552] Apart from the case prosecuted, another 23 cases were deemed suspicious by investigators.[553] Although acquitted, McTavish's case often is mentioned in lectures at medical colleges in Britain, and is cited in textbooks and academic papers about forensic science and medical malpractice.[554][555][556] McTavish, now known as Jessie Gordon, is believed to have been the inspiration for serial killer nurse Colin Norris.[552]"
Abdul Latif Sharif,Mexico,1995,1,18–20,"Egyptian chemist known as ""The Jackal of Ciudad Juárez"". After migrating to the United States in the 1970s, Sharif served 14 years in prison for several rapes but fled to Mexico when he was about to be deported to his home country. There, he was accused of up to 20 of the female homicides in Ciudad Juárez but was convicted of only one, to 30 years in prison, where he died of natural causes in 2006. As the high rate of female murders has continued to this day in Ciudad Juárez, it has been claimed that Sharif was used as a scapegoat by the Mexican police.[557]"
Daisuke Mori,Japan,2000 and earlier,1,11+,Nurse that was sentenced to life imprisonment for one murder but suspected of killing at least 10 others. He might have confessed to some of the murders in order to protect others.[558]
Thomas Henry McMonigle,United States,1945 and before,1,11,"McMonigle was executed in 1948 for the murder of Thora Afton Chamberlain three years before, having admitted to shooting her and throwing her off a cliff after trying to rape her. While awaiting execution he claimed to have committed eleven murders, but these claims could not be verified.[559]"
Bevan Spencer von Einem,Australia,1979–1983,1,10,"Arrested for three and convicted of one of ""The Family Murders"", where four teenagers and one young adult, all male, were drugged, kidnapped, raped and mutilated for several weeks before their bodies were abandoned in the countryside near Adelaide. Police believed that von Einem had several accomplices, none of whom was publicly identified or detained, and at the time of his trial it was widely reported that the murders had been committed by a group of four to 12 high-profile Australian men; von Einem himself claimed to be the victim of a conspiracy. He has also been considered a suspect in the disappearance of two girls near the Adelaide Oval in 1973 and the high-profile Beaumont children disappearance in 1966.[560]"
